F1,Statistic,Quarter,Garda Division,Type of Offence,Unit,Number of Offences
"65,536",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Infanticide,Number,0
"65,537",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Dangerous driving leading to death,Number,0
"65,538",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Sexual offences,Number,47
"65,539",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Rape and sexual assault,Number,44
"65,540",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Other sexual offences,Number,3
"65,541",Recorded Crime Offences under Reservation,1/1/2011,DMR West,"Attempts/threats to murder, assaults, harassments and related offences",Number,277
"65,542",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Murder-attempt,Number,0
"65,543",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Murder-threat,Number,38
"65,544",Recorded Crime Offences under Reservation,1/1/2011,NA,Harassment and related offences,Number,27
"65,545",Recorded Crime Offences under Reservation,1/1/2011,DMR West,"Assault causing harm, poisoning",Number,54
"65,546",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Other assault,Number,158
"65,547",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Dangerous or negligent acts,Number,170
"65,548",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Dangerous driving causing serious bodily harm,Number,0
"65,549",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Driving/in charge of a vehicle while over legal alcohol limit,Number,137
"65,550",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Driving/in charge of a vehicle under the influence of drugs,Number,17
"65,551",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Endangerment with potential for serious harm/death,Number,2
"65,552",Recorded Crime Offences under Reservation,1/1/2011,DMR West,"Abandoning a child, child neglect and cruelty",Number,8
"65,553",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Unseaworthy/dangerous use of boat or ship,Number,0
"65,554",Recorded Crime Offences under Reservation,1/1/2011,DMR West,False alarm/interference with aircraft or air transport facilities,Number,0
"65,555",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Endangering traffic offences,Number,6
NA,Recorded Crime Offences under Reservation,1/1/2011,DMR West,Kidnapping and related offences,Number,1
"65,557",Recorded Crime Offences under Reservation,1/1/2011,NA,False imprisonment,Number,1
"65,558",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Abduction of person under 16 years of age,Number,0
"65,559",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Human trafficking offences,Number,0
NA,Recorded Crime Offences under Reservation,1/1/2011,DMR West,"Robbery, extortion and hijacking offences",Number,NA
NA,Recorded Crime Offences under Reservation,1/1/2011,NA,Robbery of an establishment or institution,Number,54
"65,562",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Robbery of cash or goods in transit,Number,5
"65,563",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Robbery from the person,Number,NA
"65,564",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Blackmail or extortion,Number,0
"65,565",Recorded Crime Offences under Reservation,1/1/2011,DMR West,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,8
"65,566",Recorded Crime Offences under Reservation,1/1/2011,DMR West,NA,Number,NA
"65,567",Recorded Crime Offences under Reservation,1/1/2011,DMR West,NA,Number,6
"65,568",Recorded Crime Offences under Reservation,1/1/2011,DMR West,Burglary (not aggravated),Number,514
"65,569",Recorded Crime Offences under Reservation,1/1/2011,DMR West,NA,Number,15
NA,Recorded Crime Offences under Reservation,1/1/2011,DMR West,Theft and related offences,Number,"1,819"
NA,Recorded Crime Offences under Reservation,1/1/2011,DMR West,Theft/taking of vehicle and related offences,Number,501
NA,Recorded Crime Offences under Reservation,1/1/2009,Kildare,"Other thefts, handling stolen property",Number,368
NA,Recorded Crime Offences under Reservation,1/1/2009,Kildare,Perverting the course of justice,Number,1
"48,971",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Possession of a firearm,Number,2
"48,955",Recorded Crime Offences under Reservation,1/1/2009,Kildare,"Possession of an article (with intent to burgle, steal, demand)",Number,2
"48,966",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Possession of drugs for personal use,Number,117
"48,965",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Possession of drugs for sale or supply,Number,16
"48,982",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Prostitution offences,Number,0
"48,978",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Public order and other social code offences,Number,306
"48,925",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Rape and sexual assault,Number,19
"48,983",Recorded Crime Offences under Reservation,1/1/2009,Kildare,"Regulated betting/money, collection/trading offences",Number,2
"48,949",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Robbery from the person,Number,8
"48,947",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Robbery of an establishment or institution,Number,26
"48,948",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Robbery of cash or goods in transit,Number,0
"48,946",Recorded Crime Offences under Reservation,1/1/2009,Kildare,"Robbery, extortion and hijacking offences",Number,34
"48,924",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Sexual offences,Number,23
"48,984",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Social code offences (n.e.c.),Number,2
"48,956",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Theft and related offences,Number,722
"48,958",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Theft from person,Number,13
"48,959",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Theft from shop,Number,152
"48,957",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Theft/taking of vehicle and related offences,Number,189
"48,980",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Trespass offences,Number,31
"48,939",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Unseaworthy/dangerous use of boat or ship,Number,0
"48,968",Recorded Crime Offences under Reservation,1/1/2009,Kildare,Weapons and Explosives Offences,Number,NA
"50,926",Recorded Crime Offences under Reservation,4/1/2009,Kildare,"Abandoning a child, child neglect and cruelty",Number,NA
"50,932",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Abduction of person under 16 years of age,Number,NA
"50,941",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Aggravated burglary,Number,5
"50,963",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Arson,Number,55
"50,919",Recorded Crime Offences under Reservation,4/1/2009,Kildare,"Assault causing harm, poisoning",Number,42
"50,915",Recorded Crime Offences under Reservation,4/1/2009,Kildare,"Attempts/threats to murder, assaults, harassments and related offences",Number,205
"50,938",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Blackmail or extortion,Number,0
"50,942",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Burglary (not aggravated),Number,366
"50,940",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Burglary and related offences,Number,372
"50,939",Recorded Crime Offences under Reservation,4/1/2009,Kildare,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,2
"50,950",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Controlled drug offences,Number,138
"50,964",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Criminal damage (not arson),Number,344
"50,952",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Cultivation or manufacture of drugs,Number,0
"50,962",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Damage to property and to the environment,Number,404
"50,922",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Dangerous driving causing serious bodily harm,Number,0
"50,911",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Dangerous driving leading to death,Number,NA
"50,921",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Dangerous or negligent acts,Number,130
"50,958",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Discharging a firearm,Number,7
"50,967",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Disorderly conduct,Number,275
"50,924",Recorded Crime Offences under Reservation,4/1/2009,Kildare,Driving/in charge of a vehicle under the influence of drugs,Number,6
